地区,合计项数,合计金额,数理科学部项数,数理科学部金额,化学科学部项数,化学科学部金额,生命科学部项数,生命科学部金额,地球科学部项数,地球科学部金额,工程与材料学部项数,工程与材料学部金额,信息科学部项数,信息科学部金额,管理科学部项数,管理科学部金额,医学科学部项数,医学科学部金额
合计,400,52000,47,6110,57,7410,58,7540,40,5200,74,9620,60,7800,14,1820,50,6500
北京,130,16900,17,2210,18,2340,18,2340,16,2080,25,3250,21,2730,6,780,9,1170
上海,49,6370,4,520,8,1040,8,1040,1,130,5,650,8,1040,1,130,14,1820
江苏,34,4420,6,780,5,650,6,780,3,390,4,520,5,650,2,260,3,390
广东,29,3770,3,390,6,780,5,650,1,130,4,520,2,260,2,260,6,780
湖北,22,2860,3,390,3,390,5,650,2,260,3,390,2,260,1,130,3,390
安徽,18,2340,5,650,1,130,,,5,650,,,5,650,1,130,1,130
浙江,18,2340,2,260,2,260,5,650,1,130,3,390,3,390,,,2,260
四川,15,1950,2,260,1,130,1,130,2,260,4,520,2,260,1,130,2,260
山东,11,1430,1,130,1,130,,,3,390,3,390,1,130,,,2,260
福建,10,1300,1,130,2,260,3,390,1,130,1,130,1,130,,,1,130
黑龙江,10,1300,,,,,1,130,1,130,5,650,3,390,,,,
重庆,9,1170,,,3,390,2,260,,,2,260,,,,,2,260
湖南,8,1040,2,260,,,,,,,5,650,,,,,1,130
吉林,7,910,1,130,2,260,,,,,2,260,2,260,,,,
辽宁,7,910,,,2,260,1,130,,,3,390,1,130,,,,
天津,6,780,,,1,130,1,130,,,3,390,,,,,1,130
陕西,6,780,,,,,1,130,,,2,260,1,130,,,2,260
甘肃,4,520,,,1,130,,,3,390,,,,,,,,
河南,2,260,,,,,,,,,,,1,130,,,1,130
山西,2,260,,,1,130,,,,,,,1,130,,,,
江西,1,130,,,,,,,,,,,1,130,,,,
贵州,1,130,,,,,,,1,130,,,,,,,,
云南,1,130,,,,,1,130,,,,,,,,,,